domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
freecell_easy,probfreecell-2-3.pddl,greedyResumeWalker, ,success,23744,1s_easy,8.0,1,0,34,8,50, ,8,2.3579991999999996,0.01,92,94462.0,True,True,True,0,0,0,100,31988,2666066,12,12,4,4
freecell_easy,probfreecell-2-4.pddl,greedyResumeWalker, ,success,24336,1s_easy,8.0,1,0,34,8,67, ,8,2.9710577,0.01,90,95644.0,True,True,True,0,0,0,100,22448,2204019,14,14,5,5
freecell_easy,probfreecell-2-5.pddl,greedyResumeWalker, ,success,24052,1s_easy,9.0,1,0,38,9,61, ,9,3.2139981,0.01,92,96253.0,True,True,True,0,0,0,100,22477,2255651,13,14,5,4
freecell_easy,probfreecell-3-1.pddl,greedyResumeWalker, ,success,35336,1s_easy,14.0,1,0,66,16,142, ,14,3.441647,0.0239992,125,96285.0,True,True,True,0,0,0,100,22157,1846342,13,13,4,4
freecell_easy,probfreecell-3-2.pddl,greedyResumeWalker, ,success,34108,1s_easy,14.0,1,0,58,14,157, ,14,4.669995,0.0319993,124,97201.0,True,True,True,0,0,0,100,16732,2073748,16,17,5,5
freecell_easy,probfreecell-3-3.pddl,greedyResumeWalker, ,success,35296,1s_easy,14.0,1,0,58,14,155, ,14,3.75784,0.0199997,126,97823.0,True,True,True,0,0,0,100,17472,2230513,17,17,6,5
freecell_easy,probfreecell-3-4.pddl,greedyResumeWalker, ,success,34960,1s_easy,12.0,1,0,50,12,133, ,12,3.5819972,0.0159998,125,97347.0,True,True,True,0,0,0,100,20409,2559219,17,18,5,5
freecell_easy,probfreecell-3-5.pddl,greedyResumeWalker, ,success,34984,1s_easy,14.0,1,0,58,14,161, ,14,3.5348490999999997,0.0159992,124,98830.0,True,True,True,0,0,0,100,16594,2191156,16,17,6,6
gripper,prob01.pddl,greedyResumeWalker, ,success,10536,1s_easy,12.0,1,0,78,19,88, ,12,0.01,0.01,24,90191.0,True,True,True,3,2,2,3,33720,6945757,4,2,2,2
gripper,prob02.pddl,greedyResumeWalker, ,success,10536,1s_easy,19.0,1,0,118,29,164, ,19,0.02,0.01,34,90121.0,True,True,True,5,4,2,3,21748,8618665,6,2,2,2
